"year","name","flow","sd","upp50","lwr50","upp80","lwr80","model"
2014,"Sweden",140221.368917585,13403.3200643236,150042.581289251,132316.12745757,159115.47071926,126194.933316049,"Eurostat estimate 2016"
2014,"United Kingdom",748107.106532672,64180.2635397163,791126.238006639,709482.502323972,836995.046425082,675435.966859234,"Eurostat estimate 2016"
2015,"Austria",167625.464840891,28298.3061395436,186952.843190637,151456.535795922,208431.943292738,138732.634652415,"Eurostat estimate 2016"
2015,"Belgium",285610.016452265,26443.8244280586,304241.98320546,269672.899499765,322942.401797292,255571.180550314,"Eurostat estimate 2016"
2015,"Bulgaria",557449.310171353,57796.7357119165,596953.262296322,520372.674672687,638474.692181136,492424.110856042,"Eurostat estimate 2016"
2015,"Croatia",271036.593465754,37263.2382633171,297197.465832324,249301.272758702,323304.225250636,231448.739250707,"Eurostat estimate 2016"
2015,"Cyprus",77221.0564286394,13298.4112053337,86661.2391299582,68751.611084404,96059.9755258172,62127.4883912579,"Eurostat estimate 2016"
2015,"Czechia",279816.546744602,77497.8515038226,328882.823894032,242530.71937821,397556.213012929,218594.246182443,"Eurostat estimate 2016"
2015,"Denmark",90984.736837764,11613.5380284474,98565.7042570188,84163.8845383507,107151.432305541,78731.3326800874,"Eurostat estimate 2016"
2015,"Estonia",77836.4509825781,7671.79471093753,83174.0372787397,73196.8229547179,88495.8584395671,69086.2308628344,"Eurostat estimate 2016"
2015,"Finland",137328.900751841,13000.9821983152,146220.245701327,128950.414407823,155155.887982781,121628.376608998,"Eurostat estimate 2016"
2015,"France",776825.99496482,56130.3222728039,816795.02780693,740831.572510944,853055.110579193,710898.202104826,"Eurostat estimate 2016"
2015,"Germany",1238844.06969844,79453.1056920514,1292550.14556123,1189265.12713604,1346184.13431244,1143226.71939262,"Eurostat estimate 2016"
2015,"Greece",86825.9972881666,6862.17541142849,91541.6451425333,82465.4583296307,96145.0546823325,78866.7987587511,"Eurostat estimate 2016"
2015,"Hungary",303293.582153857,38346.0711374181,330023.212827142,279588.473286922,356630.135893616,261119.933317778,"Eurostat estimate 2016"
2015,"Ireland",245658.849604495,44071.3315001094,275548.604264758,219469.233274154,308490.670971986,199225.393583073,"Eurostat estimate 2016"
2015,"Italy",810895.467694805,85891.8068265628,870248.008316892,756441.220150882,932698.660432731,713627.133783946,"Eurostat estimate 2016"
2015,"Latvia",139205.584223727,16457.3517833598,150480.801223709,129362.428564879,161568.998326938,120091.263477035,"Eurostat estimate 2016"
2015,"Lithuania",260376.027443697,30047.9082817143,280246.956728268,241260.912540441,301728.208990664,227035.518322792,"Eurostat estimate 2016"
2015,"Luxembourg",47887.2448920543,6375.73386355839,52516.0644571033,43945.9901062328,56816.3389525213,40697.2695546241,"Eurostat estimate 2016"
2015,"Malta",21869.6566577896,6439.39165580611,26303.2293989955,18517.4397880821,31606.763283077,15924.7663742195,"Eurostat estimate 2016"
2015,"Netherlands",319709.722422406,28177.3536610634,338719.416609003,302099.501472131,357736.46742599,286608.936708522,"Eurostat estimate 2016"
2015,"Poland",2324722.66855416,305040.240130058,2535138.41451268,2136339.6684586,2750468.29519666,1985937.11458845,"Eurostat estimate 2016"
