"year","name","total","sd","upp50","lwr50","upp80","lwr80","model"
2016,"Estonia",20608.6704395633,1354.6854105721,21524.9447116767,19717.4438956182,22432.3831165679,18976.5902098262,"Eurostat 10 percent"
2016,"Finland",121958.349755366,8271.31300380967,127510.038068257,116736.318920594,133207.586485548,112290.412362445,"Eurostat 10 percent"
2016,"France",1267932.30995135,154018.440350462,1378297.98646469,1171438.34031916,1480030.3318839,1090408.67147216,"Eurostat 10 percent"
2016,"Germany",2788375.95248531,341776.088981229,3027637.09130887,2564098.4746541,3246240.75853599,2386343.06926779,"Eurostat 10 percent"
2016,"Greece",269732.659663235,51551.1644906939,305257.899234579,243830.343950823,343394.810246449,220765.543018097,"Eurostat 10 percent"
2016,"Hungary",267364.302379015,27574.5520491765,286896.870892501,249088.278308804,304920.4515152,235243.96737017,"Eurostat 10 percent"
2016,"Ireland",426854.657122669,59492.5493641829,467938.931238976,387174.751840831,512262.370263215,359395.286909355,"Eurostat 10 percent"
2016,"Italy",2064778.51897103,127837.827187957,2152277.10876828,1981603.38395394,2237428.85551685,1908098.61546117,"Eurostat 10 percent"
2016,"Latvia",19532.4114733194,1710.89114457468,20736.44594059,18482.1919370869,21927.7774603051,17577.0941461273,"Eurostat 10 percent"
2016,"Lithuania",13186.9583309304,1045.54685504543,13899.5157684969,12569.5918745312,14612.1326100771,12001.521330926,"Eurostat 10 percent"
2016,"Luxembourg",160869.055712393,13236.1583861675,170312.413213566,152247.029099805,178739.558261724,145044.546311065,"Eurostat 10 percent"
2016,"Malta",26970.2019466929,4565.2643974458,30057.3723844569,24326.6426387736,33310.6465845425,22235.277334923,"Eurostat 10 percent"
2016,"Netherlands",522204.016115613,24362.6224667486,539167.958426362,506372.203642082,555578.397051181,493259.586282933,"Eurostat 10 percent"
2016,"Poland",85173.1788847327,11235.7700234233,92842.3400906269,78395.5662278647,101254.155340058,72926.9887895947,"Eurostat 10 percent"
2016,"Portugal",194124.279462084,35414.9290350527,217536.846773084,173126.694008478,244630.373471232,157395.239383839,"Eurostat 10 percent"
2016,"Romania",31908.1588018563,1877.43175798596,33169.10166709,30656.7249096067,34384.016987553,29581.010521127,"Eurostat 10 percent"
2016,"Slovakia",132637.047886864,11942.1587448805,140829.923336713,125075.659454507,149537.101194945,118654.660322911,"Eurostat 10 percent"
2016,"Slovenia",64198.673522945,6020.15884196001,68303.7108667472,60410.7736865831,72404.2179402092,57036.1116760222,"Eurostat 10 percent"
2016,"Spain",1950139.16535426,96778.0715643974,2020313.89103153,1886608.36714529,2078454.9976811,1831220.92956476,"Eurostat 10 percent"
2016,"Sweden",412675.66722692,19030.0540523777,425551.016241679,399501.829516143,437392.250872418,388516.052096729,"Eurostat 10 percent"
2016,"United Kingdom",2430867.68390766,227566.416453752,2583360.26341144,2283398.197907,2735976.88688136,2152146.81868778,"Eurostat 10 percent"
2017,"Austria",663228.849571359,34470.8740139045,687176.187996063,642331.548329636,709922.819791256,621748.474138195,"Eurostat 10 percent"
2017,"Belgium",729830.061395175,37003.2706840275,754731.678192004,705196.961188917,777850.499817906,682468.160130591,"Eurostat 10 percent"
2017,"Bulgaria",20796.7375135338,1187.04854682033,21607.8624544411,20052.581501135,22403.3121279671,19377.1145236234,"Eurostat 10 percent"
2017,"Croatia",61196.0085145831,11894.9050302672,69570.2676005874,54612.8333280996,78720.501104929,49434.0604338134,"Eurostat 10 percent"
2017,"Cyprus",78013.096016218,14907.4820618367,88554.2674354115,69642.8360285278,99671.3444639419,62241.2926196562,"Eurostat 10 percent"
2017,"Czechia",270380.616628809,23938.3484526299,286822.092684388,255772.804863706,303269.470299135,243460.19409956,"Eurostat 10 percent"
2017,"Denmark",216036.612007237,11108.799172572,223907.009814195,208798.395053568,230714.502209774,202911.11948542,"Eurostat 10 percent"
2017,"Estonia",24726.1630904837,1720.38214052676,25910.5313687305,23620.3835196773,27025.5856688783,22748.9227284468,"Eurostat 10 percent"
2017,"Finland",123692.117459766,8261.1495754312,129666.601238381,118252.511065241,134973.392956988,113645.764611271,"Eurostat 10 percent"
2017,"France",1249816.63195431,156970.814076805,1363719.45677644,1151053.24382012,1471969.80879853,1073472.83800605,"Eurostat 10 percent"
2017,"Germany",2785936.77640609,309519.249614643,3000250.41406866,2591479.13526612,3205519.14636535,2422521.07913144,"Eurostat 10 percent"
2017,"Greece",267252.790974963,57902.869479346,305502.134310173,239520.286573477,347474.00800767,215958.233030253,"Eurostat 10 percent"
2017,"Hungary",264715.234181063,27920.8907577601,283690.400878323,245725.583460903,302007.659254662,231244.760021788,"Eurostat 10 percent"
2017,"Ireland",441025.618627399,62424.7663813426,485819.389186248,400741.67826678,526512.668938457,370806.412932817,"Eurostat 10 percent"
2017,"Italy",2029425.70424218,127787.92160959,2120715.66448278,1946798.74050789,2202129.26356246,1878279.00692796,"Eurostat 10 percent"
2017,"Latvia",20369.6995979271,1791.69274672102,21667.7659521885,19203.7763940934,22849.9049108354,18282.4166814913,"Eurostat 10 percent"
2017,"Lithuania",15160.8991305274,1197.26428394666,15968.4895997267,14367.1012473954,16722.8600383069,13732.3166881798,"Eurostat 10 percent"
2017,"Luxembourg",171352.586786742,11106.8943118647,178813.739625607,164303.098474371,186195.775001155,157967.356425922,"Eurostat 10 percent"
2017,"Malta",30673.6516662416,5006.46404619115,34141.2156231993,27846.833958451,38043.4424009783,25451.6343381002,"Eurostat 10 percent"
2017,"Netherlands",552441.467741689,28643.9107776202,570707.440647574,533309.374496822,589305.25541889,516823.582328254,"Eurostat 10 percent"
2017,"Poland",94089.9645436071,12681.5838262608,102581.087273917,86370.1729613135,112125.290735729,80022.2021699139,"Eurostat 10 percent"
2017,"Portugal",196893.239359794,36041.2450814875,221443.327281064,175820.530377386,248605.866226046,160091.185440328,"Eurostat 10 percent"
2017,"Romania",46418.9023487661,2761.12005787584,48326.6375707326,44592.4340076651,49989.9848899008,43037.1099933707,"Eurostat 10 percent"
2017,"Slovakia",146616.730507323,13285.1358564831,156308.958318847,138525.423957069,165520.58351137,131354.008440028,"Eurostat 10 percent"
2017,"Slovenia",70262.8326583377,6719.31772755919,75039.630183185,66111.0897290534,79619.6306203701,62815.5599609848,"Eurostat 10 percent"
2017,"Spain",1912119.15074208,103271.280661694,1981469.51153108,1844841.70400386,2052251.36935484,1788590.33461564,"Eurostat 10 percent"
2017,"Sweden",400494.319339507,19387.505046589,413546.533854878,387282.380454365,425947.851654173,376427.844814669,"Eurostat 10 percent"
2017,"United Kingdom",2484499.63637572,245008.297990168,2653153.16993777,2322367.91942807,2816511.24284087,2188503.30808063,"Eurostat 10 percent"
2018,"Austria",679614.134846521,43077.5636144521,709057.239391023,651353.363609979,737442.700115416,627888.911585264,"Eurostat 10 percent"
2018,"Belgium",751428.999147439,44479.6143875577,781096.149433965,721586.373114249,810267.298192204,696083.206977913,"Eurostat 10 percent"
2018,"Bulgaria",24066.9810618676,1490.86766443395,25108.1236850773,23081.3211268917,26025.9894237207,22234.9676014424,"Eurostat 10 percent"
2018,"Croatia",62710.5641036454,11507.8353281695,70822.259755609,56472.1073869457,79829.3353093962,51266.0578699683,"Eurostat 10 percent"
2018,"Cyprus",80334.1944527267,15573.2618629006,90994.975387649,70910.5463444342,103487.187237425,63921.7131413353,"Eurostat 10 percent"
2018,"Czechia",299101.639796249,27586.4037214922,318521.564344801,281907.264401849,337727.3601073,267010.528156443,"Eurostat 10 percent"
2018,"Denmark",220531.451898767,13028.1217948613,229160.978234241,210845.58547069,237036.807056452,203584.096848218,"Eurostat 10 percent"
2018,"Estonia",28830.3568543127,1880.55490961996,30100.6604786699,27616.4928721508,31370.263500997,26572.0693551561,"Eurostat 10 percent"
2018,"Finland",125750.58640895,9317.78479618646,131896.395908933,119467.593621773,138274.102277007,114294.086371535,"Eurostat 10 percent"
2018,"France",1235028.86859782,167227.980624822,1359653.08243705,1132825.70744802,1468756.86449697,1047430.08999843,"Eurostat 10 percent"
2018,"Germany",2798985.68156232,373130.696751629,3049389.23714579,2555993.74376241,3300528.39862385,2355997.3833611,"Eurostat 10 percent"
2018,"Greece",264560.661878145,60597.2628666578,302646.234218327,235878.055296954,350667.682844738,212387.917997324,"Eurostat 10 percent"
2018,"Hungary",261202.368041982,29535.5627885261,281940.479725156,242844.548871198,302754.333944009,227695.936335611,"Eurostat 10 percent"
2018,"Ireland",443242.798285465,68123.4975793439,490101.16631186,402620.839889696,539555.104409702,368214.478650443,"Eurostat 10 percent"
2018,"Italy",1912011.39328253,177962.654754546,2038381.2525441,1798750.71971232,2158613.265669,1709006.20677658,"Eurostat 10 percent"
2018,"Latvia",20536.4777446062,1958.26196604449,21930.8456641676,19355.1512881727,23290.4139756725,18290.0799164694,"Eurostat 10 percent"
2018,"Lithuania",16752.1730488226,1353.78623748418,17741.4009692804,15881.8837191385,18573.931605789,15138.3756290527,"Eurostat 10 percent"
2018,"Luxembourg",188554.359065241,13528.4861747036,197884.216138896,179548.640093345,205998.673508033,172201.662105592,"Eurostat 10 percent"
2018,"Malta",35122.8515119146,5626.20996816903,38840.4450343314,31727.8128345776,43121.6538786704,29075.1983891109,"Eurostat 10 percent"
2018,"Netherlands",559274.864477957,33388.9345269222,581871.614437345,536445.819969995,603657.398932894,518695.915587087,"Eurostat 10 percent"
2018,"Poland",104047.483690778,13963.7505653105,113755.01509674,95583.5153043528,123407.025048689,88790.8178262848,"Eurostat 10 percent"
