"year","name","total","sd","upp50","lwr50","upp80","lwr80"
2013,"Austria",485402.654268776,30851.5357623682,502919.755091932,463606.729851492,522559.90761393,444706.058296373
2013,"Belgium",618768.4316001,35268.3888436677,643442.16451129,594763.072725181,667054.653244711,574442.634713167
2013,"Bulgaria",14780.2074598644,861.279283442515,15430.1040775964,14342.9652661213,15935.8239329923,13734.489622534
2013,"Croatia",57379.4639114325,11192.2707826802,65026.834859905,50092.3979500303,73393.4258626164,45531.3723620729
2013,"Cyprus",83462.8825349737,13385.0608446783,93898.9241338408,74204.8005330139,102717.186336953,68897.8448818812
2013,"Czechia",180896.181399707,16125.9940201512,192604.124041591,170870.505281493,202269.626570513,163143.128101317
2013,"Denmark",158671.962795476,7988.96534376782,164286.053871758,153599.536261101,169740.199499195,149994.450791458
2013,"Estonia",12039.3600562128,880.828630276614,12688.0380517738,11415.7329478771,13232.8693527336,10991.7525872439
2013,"Finland",93940.9824666994,7114.17409879032,98104.85943912,89637.0448248458,103638.947859634,86422.2367295614
2013,"France",1346266.50602483,192728.497804408,1491059.69486234,1248154.93116618,1655820.83263644,1166719.33189437
2013,"Germany",2717995.65178575,418108.099199036,3052676.29155054,2475707.1901966,3319595.23800741,2299811.95454173
2013,"Greece",284925.050066115,40447.7564284868,315951.106499718,261412.93216006,347719.253533696,242651.458716579
2013,"Hungary",218580.513846777,24817.5503535454,236053.935969651,202828.360693574,252735.805111914,186354.748483358
2013,"Ireland",412057.99969207,67240.685558309,461184.685577282,370100.70388382,504455.221849366,338522.293502214
2013,"Italy",1729027.62869158,149874.032343642,1817897.61629388,1627232.75311562,1920778.2937979,1544293.68264435
2013,"Latvia",22253.0764802508,2320.68395020683,23916.4692501745,20747.4529412056,25454.039020538,19642.5986525741
2013,"Lithuania",11790.0235239858,1633.95470069693,12670.9252713139,10617.2622141184,13735.962998072,9719.40243627245
2013,"Luxembourg",151215.623679871,21527.5201296105,164772.943316075,137694.938856669,182319.00240392,128769.26233852
2013,"Malta",18202.497817283,3096.40775318238,20070.4374691566,16505.3926088807,22733.5690477822,15159.8554648102
2013,"Netherlands",409771.238406499,25522.77148593,426508.949903185,397890.739576701,446391.046914247,380064.149567848
2013,"Poland",64227.6835022296,8099.99566187052,69104.6595407435,58704.6220973771,76670.9704060001,55348.1158843968
2013,"Portugal",186196.716415093,30042.4970809806,207304.74520927,166435.443052583,231444.877471149,155401.20378961
2013,"Romania",15309.2987604883,1031.95015357601,16112.9029761735,14744.4325579547,16800.9567019414,14253.126679513
2013,"Slovakia",102408.661069223,11174.5280876515,110817.970536327,95182.6057738141,117556.17092192,87704.6486096979
2013,"Slovenia",62936.3295405315,6834.13563261757,67051.4791958677,58258.9188393783,71632.9259202804,54280.706826896
2013,"Spain",1830235.89327079,128283.299670777,1917823.95375498,1751134.00278454,1986336.0665331,1665865.70218841
2013,"Sweden",359328.67458575,20245.1205856591,372717.214769055,346525.125171765,385091.555714803,334891.207422268
2013,"United Kingdom",2315001.31489831,235530.735204623,2497203.13114218,2179316.57753119,2621014.19473604,2039074.07772883
2014,"Austria",540420.982156372,34663.2163420325,568667.766505988,519199.60991096,587513.380993858,497903.922191456
2014,"Belgium",666967.584391987,37284.8009893946,692130.358130499,645334.197096574,717947.990414544,626933.214311647
2014,"Bulgaria",16201.9659369645,933.175138005826,16839.519991496,15578.5318604047,17429.6136116511,15160.2426362165
2014,"Croatia",57187.1307067384,12162.2443632896,66713.7229919875,49947.8257566368,75871.7263957949,44691.95362191
2014,"Cyprus",80778.0410564992,14241.1477781313,91008.0235662526,72051.5652498753,99919.3856759514,63642.9232561951
2014,"Czechia",203074.009642983,18083.8168969107,214495.555742864,193451.58736911,227856.533195983,182260.261024945
2014,"Denmark",177507.801237357,9521.92152736637,184582.432465546,170901.757234853,190220.205750507,165572.345627988
2014,"Estonia",13252.5275825806,817.853088034363,13786.5504515617,12687.2293117734,14399.9469426666,12338.7820048251
2014,"Finland",105043.901735764,7402.67020650129,110192.534566497,100441.103898416,115220.068476705,96217.0342252157
2014,"France",1280012.19138161,200518.010632722,1427580.66217796,1175623.57563498,1593677.61771613,1108465.74708671
2014,"Germany",2693223.56003901,426967.069208972,3022942.33977915,2457725.010112,3348795.01750419,2261076.21407338
2014,"Greece",272997.112334342,47723.9701802428,307276.902228874,248249.677771168,342200.957251518,231232.509271405
2014,"Hungary",243844.701264543,28554.4140217388,261250.629045239,227035.806234044,280205.262515388,205097.108297486
2014,"Ireland",403335.232895704,66804.7924145817,451991.83588137,364388.07072543,494600.307231465,337741.808446545
2014,"Italy",1836065.39100572,168336.099737045,1944646.81609606,1718644.15929258,2053562.8132748,1633181.50774308
2014,"Latvia",22098.2313136311,2120.08555178459,23514.990609897,20870.7905078079,25129.7114712975,19976.126342989
2014,"Lithuania",11817.1951052672,1126.84468998374,12680.7391128779,11121.9415369485,13449.1247289959,10611.2801740054
2014,"Luxembourg",156063.266278727,22294.1586280489,172769.888644981,144302.716881487,189783.236339088,131190.334408313
2014,"Malta",21083.0994540917,3909.00149966879,24063.7605933473,18913.510289151,27223.5123233698,17431.6223514451
2014,"Netherlands",449447.037784747,25251.265858005,465526.315517059,435504.24089687,483047.551879622,420792.2438691
2014,"Poland",70853.081527396,9731.2206526595,78709.4719274846,65372.4456365334,85529.1204034171,60345.3674899887
2014,"Portugal",189924.358982332,32566.7046505151,210564.038746271,168461.814704955,235104.27015484,152709.649421381
2014,"Romania",17804.7992386271,1075.99785501953,18617.3407690229,17117.1988873217,19277.1371100679,16483.3219418468
2014,"Slovakia",120691.527955403,12501.7393410495,129280.837651884,113095.641578485,138757.938673416,107160.908676542
2014,"Slovenia",63832.029109884,7343.87988167811,68877.5867481573,59492.4692283483,74585.8402234844,56208.1037102564
2014,"Spain",1890656.95341226,128502.809970301,1970683.80234564,1813124.75641117,2050334.45049561,1729113.47936947
2014,"Sweden",380245.458988713,23835.5596636124,396066.025489622,365236.132126458,412968.481199269,353021.99853847
2014,"United Kingdom",2420516.70297359,259205.146232753,2616640.07434242,2265456.38621947,2817782.02353585,2136942.45355652
2015,"Austria",607761.255781364,42198.1561708486,637000.369190494,581322.104836389,669598.590112457,557706.12991881
2015,"Belgium",720998.487257316,41921.657587029,745751.436033989,690323.582537829,774211.421995764,667555.535644698
2015,"Bulgaria",16726.5319170468,949.568540720545,17261.6111052953,16048.0158830706,17892.15861965,15598.6535744354
2015,"Croatia",58652.8400268861,11953.851401257,65562.5976264808,51368.3623738776,76784.4296409545,45948.7702432704
2015,"Cyprus",79033.8174408593,15678.6218510759,91029.8194937012,70362.3438131114,100318.8129334,61363.7280634956
2015,"Czechia",225671.413140642,31282.3394633969,250421.185265426,208376.057199242,275793.367507903,195172.484009471
2015,"Denmark",197576.320587466,10010.271469592,205906.352888528,192176.150905991,212937.591146366,187417.828797003
2015,"Estonia",17537.0868068769,1151.32433784233,18188.6136528951,16824.2696331102,19036.6438959434,16171.477441838
2015,"Finland",116652.312691205,8676.16432719082,122924.170008495,110138.912353395,127777.759344178,105931.945888181
2015,"France",1227343.36473581,179289.431159648,1349357.73677415,1115391.82962108,1514666.74709306,1042767.72756933
2015,"Germany",2689479.16857805,422345.267422765,2996006.32814763,2394891.7958308,3334939.67608697,2246234.24996692
2015,"Greece",268318.104416179,51945.2704359099,304435.694896762,237598.865902289,340934.076295306,214259.465099652
2015,"Hungary",258432.773839348,28018.5806834279,276992.44855937,240647.118046692,293624.846733903,227875.785691978
2015,"Ireland",404673.762658626,58279.7363664178,445821.892773961,367287.310729478,485257.715263781,345688.435873181
2015,"Italy",1940638.33387161,169831.614152884,2046621.8346934,1827808.28397351,2149383.8603166,1751004.82302164
